Geography,Name,Level,year,"<= $20,000","$20,001 -
$40,000","$40,001 -
$60,000","$60,001 -
$100,000","$100,001 -
$250,000","> $250,000"
MN 07,Upper West Side,Community District,2000,8.4%,8.3%,8.5%,16.8%,32.3%,25.8%
MN 07,Upper West Side,Community District,2020-2024,9.4%,7.3%,7.1%,13.0%,31.2%,32.0%
MN 08,Upper East Side,Community District,2000,5.5%,6.6%,6.9%,15.9%,34.1%,31.1%
MN 08,Upper East Side,Community District,2020-2024,6.3%,6.6%,6.7%,13.5%,32.6%,34.3%
MN 09,Morningside Heights/Hamilton,Community District,2000,22.0%,16.1%,13.1%,20.2%,22.2%,6.4%
MN 09,Morningside Heights/Hamilton,Community District,2020-2024,18.1%,16.3%,12.4%,18.0%,25.2%,9.9%
MN 10,Central Harlem,Community District,2000,30.1%,19.4%,15.6%,17.7%,14.9%,2.3%
MN 10,Central Harlem,Community District,2020-2024,20.9%,16.8%,11.3%,16.7%,25.2%,9.0%
MN 11,East Harlem,Community District,2000,29.3%,18.7%,14.5%,19.0%,15.0%,3.5%
MN 11,East Harlem,Community District,2020-2024,29.8%,17.4%,12.5%,14.5%,19.1%,6.6%
MN 12,Washington Heights/Inwood,Community District,2000,19.3%,17.8%,15.2%,23.1%,21.6%,3.1%
MN 12,Washington Heights/Inwood,Community District,2020-2024,16.1%,16.5%,12.2%,20.0%,29.5%,5.7%
QN 01,Astoria,Community District,2000,13.6%,15.5%,14.6%,23.3%,29.4%,3.6%
QN 01,Astoria,Community District,2020-2024,10.8%,11.3%,10.3%,21.1%,37.2%,9.3%
QN 02,Woodside/Sunnyside,Community District,2000,8.8%,15.7%,13.8%,27.2%,30.7%,3.8%
QN 02,Woodside/Sunnyside,Community District,2020-2024,7.0%,11.9%,10.5%,21.9%,35.1%,13.7%
QN 03,Jackson Heights,Community District,2000,10.5%,16.7%,14.0%,25.4%,29.8%,3.7%
QN 03,Jackson Heights,Community District,2020-2024,10.1%,13.5%,13.8%,24.2%,31.8%,6.8%
QN 04,Elmhurst/Corona,Community District,2000,12.0%,15.7%,15.8%,24.3%,29.0%,3.3%
QN 04,Elmhurst/Corona,Community District,2020-2024,10.6%,16.9%,15.0%,24.8%,27.7%,4.9%
QN 05,Ridgewood/Maspeth,Community District,2000,10.0%,14.6%,13.8%,24.6%,32.7%,4.2%
QN 05,Ridgewood/Maspeth,Community District,2020-2024,7.4%,11.4%,12.1%,22.5%,37.9%,8.8%
QN 06,Rego Park/Forest Hills,Community District,2000,9.9%,12.9%,10.7%,21.3%,36.0%,9.2%
QN 06,Rego Park/Forest Hills,Community District,2020-2024,9.3%,10.4%,9.1%,19.3%,39.3%,12.5%
QN 07,Flushing/Whitestone,Community District,2000,8.3%,13.7%,12.9%,23.5%,34.9%,6.6%
QN 07,Flushing/Whitestone,Community District,2020-2024,12.0%,15.6%,12.3%,20.4%,32.2%,7.5%
QN 08,Hillcrest/Fresh Meadows,Community District,2000,7.9%,11.1%,10.7%,25.0%,36.4%,9.0%
QN 08,Hillcrest/Fresh Meadows,Community District,2020-2024,9.8%,13.1%,11.9%,19.9%,37.6%,7.8%
QN 09,Kew Gardens/Woodhaven,Community District,2000,9.4%,13.6%,13.9%,24.3%,33.9%,4.8%
QN 09,Kew Gardens/Woodhaven,Community District,2020-2024,8.4%,12.1%,11.6%,22.7%,36.3%,8.8%
QN 10,South Ozone Park/Howard Beach,Community District,2000,6.8%,12.8%,12.3%,23.0%,39.6%,5.5%
QN 10,South Ozone Park/Howard Beach,Community District,2020-2024,8.4%,11.2%,12.4%,17.3%,42.8%,7.9%
QN 11,Bayside/Little Neck,Community District,2000,5.4%,10.4%,10.3%,20.4%,42.8%,10.8%
QN 11,Bayside/Little Neck,Community District,2020-2024,8.0%,9.5%,10.2%,19.6%,41.2%,11.6%
QN 12,Jamaica/Hollis,Community District,2000,10.7%,13.3%,15.1%,24.5%,32.3%,4.1%
QN 12,Jamaica/Hollis,Community District,2020-2024,11.7%,12.8%,13.5%,22.6%,32.8%,6.6%
QN 13,Queens Village,Community District,2000,4.7%,8.7%,10.5%,22.2%,45.9%,7.9%
QN 13,Queens Village,Community District,2020-2024,6.3%,9.3%,9.5%,20.3%,43.7%,11.0%
QN 14,Rockaway/Broad Channel,Community District,2000,19.4%,13.9%,12.6%,24.5%,25.3%,4.3%
QN 14,Rockaway/Broad Channel,Community District,2020-2024,18.0%,14.4%,12.9%,18.0%,28.1%,8.6%
SI 01,St. George/Stapleton,Community District,2000,11.9%,12.4%,11.2%,21.7%,35.7%,7.0%
SI 01,St. George/Stapleton,Community District,2020-2024,11.5%,11.7%,10.8%,20.2%,36.5%,9.3%
SI 02,South Beach/Willowbrook,Community District,2000,7.6%,9.9%,9.8%,20.3%,41.7%,10.7%
SI 02,South Beach/Willowbrook,Community District,2020-2024,8.0%,12.0%,9.8%,21.5%,36.8%,11.9%
SI 03,Tottenville/Great Kills,Community District,2000,4.6%,7.8%,8.6%,19.8%,47.4%,11.9%
SI 03,Tottenville/Great Kills,Community District,2020-2024,7.2%,9.1%,8.2%,17.6%,44.9%,12.9%
